ลำดับที่,MEMBER TYPE,CODE,NAME,CARD ID,ADDRESS,SUB DISTRICT,DISTRICT,PROVINCE,CONTACT,ROUTE,MOBILE,LINE,LOCATION,REMARK,BRANCH CODE,STATUS,Ref
332,ขายปลีก 20/5,VP01065,ก๋วยเตี๋ยวเรือ พี่ไอซ์,,A62-78,,,,คุณไพโรจน์,VP01,083-8031023,,"13.8274073,100.2591672",,,Active,OLD
333,ขายปลีก 20/5,VP01066,รถขายก๋วยเตี๋ยว คงศักดิ์,,S62-208,,,,คุณคงศักดิ์,VP01,087-6643749,,"13.820938,100.244604",,,Active,OLD
334,ขายปลีก 20/5,VP01067,กาแฟ ป้าติ๋ว,,S62-131,,,,คุณธนภัทร,VP01,083-0890769,,"13.822996,100.246016",,,Active,OLD
335,ขายปลีก 20/5,VP01068,ร้านพี่หนูแดง VP1,xxxxxxxxxxxxx,ถังเอง,,,,คุณหนูแดง,VP01,080-0920566,,"13.827651,100.152075",,xxxx,Inactive,OLD
336,ขายปลีก 20/5,VP01069,ม.พฤกษา8 ซอย12,,ถังเอง,,,,,VP01,086-1617685,,"13.8149167,100.2347585",,,Active,OLD
337,ขายปลีก 20/5,VP01070,บ้านสวน ป้านันท์,,S63-22,,,,คุณศิริลักษณ์,VP01,081-2690433,,"13.8459582,100.2824634",,,Active,OLD
338,ขายปลีก 20/5,VP01071,บ้านสวน 3 หลัง พี่ชัย,,A62-55,,,,คุณวันชัย,VP01,089-9885016,,"13.809661,100.210044",,,Active,OLD
339,ขายปลีก 20/5,VP01072,ลูกชิ้น นิรันพร,,A63-22,,,,คุณนิรันพร,VP01,085-8624429,,"13.816599,100.234816",,,Active,OLD
340,ขายปลีก 20/5,VP01073,น้ำ สุธิษา,,A63-34,,,,คุณสุธิษา,VP01,083-0890769,,"13.828150,100.258687",,,Active,OLD
341,ขายปลีก 20/5,VP01074,กาแฟรถเข็น ภัทราภรณ์,,S63-100,,,,คุณภัทราภรณ์,VP01,088-4528173,,"13.8199609,100.2448558",,,Active,OLD
342,ขายปลีก 20/5,VP01075,บ้านสวนป้าแอ็ด,,A63-27,,,,คุณโศรยา,VP01,085-3620848,,"13.8367396,100.2661898",,,Active,OLD
343,ขายปลีก 20/5,VP01076,ส้มตำ and ห่อหมกพี่โบว์,,S63-67,,,,คุณสุวิมล,VP01,,,"13.836580,100.265468",,,Active,OLD
344,ขายปลีก 20/5,VP01077,ลูกชิ้นทอดพี่เป้า,,ถังเอง,,,,คุณเป้า,VP01,,,"13.832904,100.266094",,,Active,OLD
345,ขายปลีก 20/5,VP01078,ข้าวแกงป้าแดง,,S62-71,,,,คุณศุภสุตา,VP01,092-3862035,,"13.8228312,100.2594867",,,Active,OLD
346,ขายปลีก 20/5,VP01079,ลุงสาธร VP1,,ถังเอง,,,,คุณสาธร,VP01,,,"13.8201115,100.2448918",,,Active,OLD
347,ขายปลีก 20/5,VP01080,บ้านบารมีสมเด็จ,,ถังเอง,,,,,VP01,087-1105033,,"13.818716,100.2392688",,,Active,OLD
348,ขายปลีก 20/5,VP01081,น้ำแข็งใส VP1,,ถังเอง,,,,,VP01,096-8140202,,"13.8351969,100.2801694",,,Active,OLD
349,ขายปลีก 20/5,VP01082,ส้มตำ VP1,,A63-61,,,,,VP01,,,"13.7898941,100.1962889",,,Active,OLD
350,ขายปลีก 20/5,VP01083,ปลาหมึก พี่แบม,xxxxxxxxxxxxx,S63-80,,,,,VP01,xxxxxxxxxxxxx,,,,xxxxx,Inactive,OLD
351,ขายปลีก 20/5,VP02001,กาแฟโบราณ 3 ควายเผือก,,A62-09,,,,,VP02,062-4639756,,,,,Inactive,OLD
352,ขายปลีก 20/5,VP02002,อาหารตามสั่ง ป้าอู๊ด VP2,***,S62-231,,,,คุณเพ็ญ,VP02,081-0063797,,"13.785516,100.271637",,**,Inactive,OLD
353,ขายปลีก 20/5,VP02003,อาหารอีสาน ป้าฝอย,,ถังเอง,,,,คุณฝอย,VP02,064-0536705,,"13.8089203,100.0671239",,,Active,OLD
354,ขายปลีก 20/5,VP02004,ครัวป้าวรรณ,,D62-01,,,,คุณวรรณวิมล,VP02,093-9729392,,"13.802839,100.305232",,,Inactive,OLD
355,ขายปลีก 20/5,VP02005,น้ำปั่นผลไม้พี่โป,,A62-93,,,,คุณธนกร,VP02,080-0625484,,"13.802643,100.305137",,,Active,OLD
356,ขายปลีก 20/5,VP02006,อ้วนรสเด็ด,,S62-155,,,,คุณยุทธศักดิ์,VP02,081-8150597,,"13.790526,100.326684",,,Inactive,OLD
357,ขายปลีก 20/5,VP02007,อร่อย,,S62-134,,,,คุณวิรินทร์ญา,VP02,091-5463626,,"13.790646,100.326183",,,Inactive,OLD
358,ขายปลีก 20/5,VP02008,ข้าวขาหมู พี่เอ,,A62-110,,,,คุณอรุณี,VP02,095-9376106,,"13.807490,100.321913",,,Inactive,OLD
359,ขายปลีก 20/5,VP02009,โจ๊กบางกอก พี่จี้,,A62-107,,,,คุณชฎาณัฐ,VP02,081-4806996,,"13.824635,100.315121",,,Active,OLD
360,ขายปลีก 20/5,VP02010,อาหารทะเล พี่หนุ่ม,,ถังเอง,,,,คุณหนุ่ม,VP02,095-3507672,,"13.821550,100.317298",,,Active,OLD
361,ขายปลีก 20/5,VP02011,พวงมาลัยดอกไม้สด,,ถังเอง,,,,,VP02,062-0072569,,,,,Inactive,OLD
362,ขายปลีก 20/5,VP02012,ปูม้าสด พี่หนึ่ง,,ถังเอง,,,,คุณหนึ่ง,VP02,061-0716407,,"13.82825118,100.31245449",,,Active,OLD
363,ขายปลีก 20/5,VP02013,ก๋วยเตี๋ยวเป็ดตุ๋นยาจีน ลุงแขก,,A62-11,,,,คุณแขก,VP02,087-0563446,,"13.8321147,100.310588",,,Active,OLD
364,ขายปลีก 20/5,VP02014,ไส้กรอกอีสาน คำพลอย,,ถังเอง,,,,คุณคำพลอย,VP02,092-8811433,,"13.861899,100.297429",,,Active,OLD
365,ขายปลีก 20/5,VP02015,ของชำ ป้าต้อย VP2,,ถังเอง,,,,คุณมัลลิกา,VP02,080-2989577,,"13.8749387,100.2773425",,,Active,OLD
366,ขายปลีก 20/5,VP02016,ส้มตำแซ่บนัว,,A62-13,,,,คุณดรุณี,VP02,062-4646293,,"13.868963,100.267092",,,Active,OLD
367,ขายปลีก 20/5,VP02017,หม่าล่า นับตัง,***,A62-22,,,,คุณณัฐฐวลัญธ์,VP02,098-9209752,,"13.869696,100.266839",,**,Inactive,OLD
368,ขายปลีก 20/5,VP02018,ของชำ พี่นก วรรณิศา VP2,,A62-35,,,,คุณวรรณิศา,VP02,064-6438421,,"13.872250,100.265789",,,Inactive,OLD
369,ขายปลีก 20/5,VP02019,ร้านกาแฟสด JAMES COFFEE,,S62-187,,,,คุณสุรีภรณ์,VP02,093-4166194,,"13.8906168,100.28340604",,,Active,OLD
370,ขายปลีก 20/5,VP02020,อาหารตามสั่ง ป้าสวน,,S63-05,,,,คุณสวนทิพย์,VP02,096-8893346,,"13.91193848,100.27073327",,,Active,OLD
371,ขายปลีก 20/5,VP02021,ของชำ พี่อร,,ถังเอง,,,,คุณอร,VP02,063-3013917,,"13.910483,100.268922",,,Active,OLD
372,ขายปลีก 20/5,VP02022,รวย,,ถังเอง,,,,,VP02,084-4566644,,"13.91171713,100.29302662",,,Active,OLD
373,ขายปลีก 20/5,VP02023,มะพร้าว พี่ฟ้า,,A62-86,,,,คุณพีรนัท,VP02,062-7167123,,"13.89805284,100.28098313",,,Active,OLD
374,ขายปลีก 20/5,VP02024,ส้มตำ ป้าแก้ว,,A62-96 A63-29,,,,คุณสุทธิสัน,VP02,095-4054403,,"13.89785437,100.28111569",,,Active,OLD
375,ขายปลีก 20/5,VP02025,อู่ซ่อมรถกฤษฎาการยาง,,ถังเอง,,,,คุณกฤษฎา,VP02,084-8789378,,"13.8822645,100.2861487",,,Active,OLD
376,ขายปลีก 20/5,VP02026,ก๋วยเตี๋ยว พี่โน๊ต,,ถังเอง,,,,คุณน๊ต,VP02,088-8472648,,"13.809192,100.037521",,,Active,OLD
377,ขายปลีก 20/5,VP02027,อาหารตามสั่ง พี่โซ,,ถังเอง,,,,คุณโซ,VP02,062-5471519,,"13.809192,100.037521",,,Inactive,OLD
378,ขายปลีก 20/5,VP02028,ของชำ พี่เก๋,,A62-104,,,,คุณศิริรัตน์,VP02,087-6181319,,"13.8820223,100.2856751",,,Active,OLD
379,ขายปลีก 20/5,VP02029,ไก่ทอดสมุนไพรพี่พร,,S62-104,,,,คุณขวัญชัย,VP02,,,"13.882977,100.287623",,,Active,OLD
380,ขายปลีก 20/5,VP02030,ผลไม้พี่ดาว,,S62-209,,,,คุณศิริวัฒนา,VP02,061-5018998,,"13.883039,100.287528",,,Active,OLD
381,ขายปลีก 20/5,VP02031,ก๋วยเตี๋ยว ส้มตำ พี่เยาว์,,ถังเอง,,,,คุณเยาว์,VP02,089-5329492,,"13.882907,100.287459",,,Active,OLD
382,ขายปลีก 20/5,VP02032,ข้าวมันไก่ น้ำ พี่อำพัน,,S63-09,,,,คุณบัวหลั่น,VP02,064-7314933,,"13.88287095,100.28741378",,,Active,OLD
383,ขายปลีก 20/5,VP02033,โรงงานตะกร้า พี่จิน,,ถังเอง,,,,คุณจิน,VP02,087-5553546,,"13.882155,100.285850",,,Active,OLD
384,ขายปลีก 20/5,VP02034,ป้าแมว VP2,,A62-118,,,,คุณพรรณี,VP02,,,"13.882767,100.287700",,,Active,OLD
385,ขายปลีก 20/5,VP02035,อาหารตามสั่ง ครัวพลฤทธิ์,,A62-43,,,,คุณสัมฤทธิ์,VP02,099-1572221,,"13.83682681,100.31209207",,,Active,OLD
386,ขายปลีก 20/5,VP02036,โรงงานพ่นสีสแตนเลส พี่เอื้อ,,A62-102,,,,คุณเอื้อ,VP02,099-2601609,,"13.832800,100.308621",,,Active,OLD
387,ขายปลีก 20/5,VP02037,ขนมจีนพี่เอ๋,,ถังเอง,,,,คุณเอ๋,VP02,081-4344908,,"13.82959585,100.31184978",,,Active,OLD
388,ขายปลีก 20/5,VP02038,กาแฟ พี่อี๊ด,,ถังเอง,,,,คุณอี๊ด,VP02,089-6780656,,"13.825491,100.314557",,,Active,OLD
389,ขายปลีก 20/5,VP02039,ไก่ย่าง วิเชียรพี่ไพบูลย์,,A62-33A62-113,,,,คุณชวน,VP02,061-5919176,,"13.8214634,100.3177419",,,Active,OLD
390,ขายปลีก 20/5,VP02040,หอมกรุ่น ชานมไข่มุก,,S62-125,,,,คุณสุวสา,VP02,063-5923529,,"13.819682,100.319749",,,Inactive,OLD
391,ขายปลีก 20/5,VP02041,ส้มตำ ป้ากุหลาบ,,S62-114,,,,คุณกุหลาบ,VP02,084-3844499,,"13.819451,100.319709",,,Active,OLD
392,ขายปลีก 20/5,VP02042,ชาช่า หม่าล่า,,S62-135 (2L)A62-29(1L),,,,คุณวสุธิดา,VP02,086-3940542,,"13.82015091,100.31976436",,,Active,OLD
393,ขายปลีก 20/5,VP02043,ก๋วยเตี๋ยว พี่โอ๋,,A62-117,,,,คุณนฤมล,VP02,086-7557574,,"13.820009,100.319587",,,Active,OLD
394,ขายปลีก 20/5,VP02044,น้ำปั่น การ์ตูน,,S62-230,,,,คุณนรีรีตน์,VP02,092-8898925,,"13.820314,100.319855",,,Active,OLD
395,ขายปลีก 20/5,VP02045,ของชำ พี่นก มหามงคล 2 VP2,,ถังเอง,,,,คุณนก,VP02,084-4992850,,"13.8190127,100.3165903",,,Active,OLD
396,ขายปลีก 20/5,VP02046,สลัด น้องเฟีย,,S62- 220,,,,คุณกาญจนา,VP02,089-1430129,,"13.801225,100.325559",,,Inactive,OLD
397,ขายปลีก 20/5,VP02047,ส้มตำ ป้าหวี,,S62-186,,,,คุณฉวี,VP02,065-7139414,,"13.798764,100.311761",,,Active,OLD
398,ขายปลีก 20/5,VP02048,ข้าวนึ่ง พี่น้อย,,A61-19,,,,คุณบุญสม,VP02,092-0515682,,"13.804405,100.279698",,,Active,OLD
399,ขายปลีก 20/5,VP02049,กาแฟ พี่อร,,ถังเอง,,,,คุณอร,VP02,084-8611505,,"13.804386,100.279725",,,Active,OLD
400,ขายปลีก 20/5,VP02050,อาหารตามสั่ง พี่หวิว,***,C62-01S62-222,,,,คุณมยุรี,VP02,086-0833677,,"13.804572,100.279768",,**,Inactive,OLD
401,ขายปลีก 20/5,VP02051,เกี๊ยวทอด,**********,S62-239,,,,คุณฐิติวรดา,VP02,084-5848950,,"13.80437,100.27936",,**,Inactive,OLD
402,ขายปลีก 20/5,VP02052,ท่าปล่อยรถเมล์สาย 84 ก,,ถังเอง,,,,คุณกมลรัตน์,VP02,099-4540055,,"13.8043299,100.2794335",,,Active,OLD
403,ขายปลีก 20/5,VP02053,ร้านรับปะเปลี่ยนซิป,,A62-82,,,,คุณกัญนิกา,VP02,095-0855536,,"13.80426941,100.27970511",,,Active,OLD
404,ขายปลีก 20/5,VP02054,กาแฟ ตาสว่าง,,ถังเอง,,,,,VP02,084-2169393,,"13.80479658,100.2735012",,,Active,OLD
405,ขายปลีก 20/5,VP02055,หอยทอด ผัดไท,,S62-148,,,,คุณอิทธิพล,VP02,064-1198398,,"13.882748,100.286770",,,Active,OLD
406,ขายปลีก 20/5,VP02056,ร้าน ป้าวรรณา,,S63-40,,,,คุณวรรณา,VP02,,,"13.821632,100.318358",,,Active,OLD
407,ขายปลีก 20/5,VP02057,ส้มตำ น้าหวาน,,A62-21,,,,คุณกฤติกา,VP02,081-6246457,,"13.820255,100.3193989",,,Active,OLD
408,ขายปลีก 20/5,VP02058,กาแฟ ชาวดอย,,ถังเอง,,,,,VP02,084-3197833,,"13.8029243,100.3053256",,,Active,OLD
409,ขายปลีก 20/5,VP02059,ของชำ พี่แต้,,ถังเอง,,,,คุณแต้,VP02,096-9017977,,"13.8216017,100.3183544",,,Active,OLD
410,ขายปลีก 20/5,VP02060,นิยมชา,,ถังเอง,,,,,VP02,096-9017978,,"13.530049,100.172330",,,Inactive,OLD
411,ขายปลีก 20/5,VP02061,ก๋วยเตี๋ยวเรือ รังสิต เจ๊โอ่ง,**********,A63-23,,,,คุณนิชาภา,VP02,062-7974651,,"13.492534,100.190743",,***,Inactive,OLD
412,ขายปลีก 20/5,VP02062,ร้านน้ำ ซ.3 VP2,,A63-20,,,,คุณดาราวรรณ,VP02,061-6263598,,"13.82149393,100.3193854",,,Active,OLD
413,ขายปลีก 20/5,VP02063,ส้มตำ ร้อยเอ็ดพี่ไพวัลย์,,A62-64S62-190A63-40,,,,คุณไพรวัลย์,VP02,083-8914531,,"13.87588532,100.29171259",,,Active,OLD
414,ขายปลีก 20/5,VP02064,อาหารตามสั่ง ทิพย์ VP2,,"A62-81,S61-16",,,,คุณกัญญาภัทร,VP02,097-3209152,,"13.493217,100.190187",,,Active,OLD
415,ขายปลีก 20/5,VP02065,พุงตุ่ย ก๋วยเตี๋ยวปลา,,S62-250S63-27A62-36,,,,คุณมาเรียม,VP02,086-9980096,,"13.84065482,100.30737355",,,Active,OLD
416,ขายปลีก 20/5,VP02066,เพลย์วิทแคท,,C63-13,,,,คุณธนวิโรจน์,VP02,089-6782614,,"13.526048,100.160779",,,Active,OLD
417,ขายปลีก 20/5,VP02067,อาหารตามสั่ง ป้ามวล,,ถังเอง,,,,คุณมวล,VP02,02-4313513,,"13.8196,100.3198",,,Active,OLD
418,ขายปลีก 20/5,VP02068,ร้านกระจก VP2,,ถังเอง,,,,,VP02,289-4874176,,"13.8203,100.3194",,,Active,OLD
419,ขายปลีก 20/5,VP02069,กาแฟ ป้าเล็ก VP2,,ถังเอง,,,,คุณเล็ก,VP02,081-4454908,,"13.8829266,100.2874072",,,Active,OLD
420,ขายปลีก 20/5,VP02070,ของชำ พี่วรรณ,,ถังเอง,,,,คุณวรรณ,VP02,081-9525263,,"13.8821385,100.2859584",,,Active,OLD
421,ขายปลีก 20/5,VP02071,น้ำโชติกา อาภาพร 2,,S63-08,,,,คุณโชติกา,VP02,095-9458352,,"13.8245564,100.2889744",,,Active,OLD
422,ขายปลีก 20/5,VP02072,ก๋วยเตี๋ยว พี่แจ่ม,,ถังเอง,,,,คุณแจ่ม,VP02,089-8908161,,"13.819620,100.319754",,,Active,OLD
423,ขายปลีก 20/5,VP02073,ร้านพี่ไมค์ VP2,,S63-12,,,,คุณสุกใส,VP02,,,"13.882858,100.287472",,,Inactive,OLD
424,ขายปลีก 20/5,VP02074,ข้าวนึ่ง อัศวิน,,A63-50,,,,คุณอนงค์,VP02,089-9890242,,"13.804505,100.279375",,,Inactive,OLD
425,ขายปลีก 20/5,VP02075,คาเฟ่ and รีสอร์ท พี่ต้น,,A62-89,,,,คุณพิชิต,VP02,065-3075744,,"13.834212,100.290683",,,Inactive,OLD
426,ขายปลีก 20/5,VP02076,กาแฟ พี่เล็ก VP2,,A62-74,,,,คุณธิติ,VP02,092-9819306,,"13.829526,100.311792",,,Inactive,OLD
427,ขายปลีก 20/5,VP02077,น้ำส้มคั้นพี่วรรณ,***,A62-23,,,,คุณทิพย์วรรณ,VP02,092-4285654,,"13.882263,100.285763",,**,Inactive,OLD
428,ขายปลีก 20/5,VP02078,ร้านน้ำป้าเล็ก ปตท.,,A62-37,,,,คุณชุลี,VP02,087-5876262,,"13.861846,100.297576",,,Active,OLD
429,ขายปลีก 20/5,VP03001,ของชำ เจ๊อี๊ด,,ถังเอง,,,,คุณอี๊ด,VP03,084-314989,,"13.83347848,100.18421639",,,Active,OLD
430,ขายปลีก 20/5,VP03002,ครัวริมบึง,,S62-229S62-240A62-83S62-197,,,,คุณณัฎฐ์กร,VP03,095-1589135,,"13.7978369,100.175563",,,Active,OLD
431,ขายปลีก 20/5,VP03003,กาแฟ นิตยา,,ถังเอง,,,,คุณนิตยา,VP03,092-3905946,,"13.827860,100.190554",,,Active,OLD
432,ขายปลีก 20/5,VP03004,ส้มโอไทยทวีCoffee พี่ศรี,,A62-87,,,,คุณศศิภา,VP03,085-3924664,,"13.823093,100.196540",,,Active,OLD
433,ขายปลีก 20/5,VP03005,กาแฟรถเข็น ป้าเริง,,S62-242,,,,คุณศิริกาญจน์,VP03,096-7212460,,"13.8195056,100.195189",,,Active,OLD
434,ขายปลีก 20/5,VP03006,สเต็กแอนด์คาเฟ่ ริเวอร์โซน พี่มล,,A62-69,,,,คุณวรางรัตน์,VP03,090-6281755,,"13.8375802,100.1833143",,,Active,OLD
435,ขายปลีก 20/5,VP03007,อาหารตามสั่ง น้ำหวาน,,"S62-138,S62-228",,,,คุณธนมาศ,VP03,082-3245845,,"13.843166,100.203610",,,Active,OLD
436,ขายปลีก 20/5,VP03008,อาหารตามสั่ง พี่ไก่,,S63-11,,,,คุณศุภรัน,VP03,061-5839316,,"13.8428337,100.2034906",,,Active,OLD
437,ขายปลีก 20/5,VP03009,ส้มตำ สมหมาย,,S61-60 S62-236,,,,คุณสมหมาย,VP03,086-0593163,,"13.8431968,100.2029056",,,Active,OLD
438,ขายปลีก 20/5,VP03010,ของชำ พี่อ้อย,,S63-16,,,,คุณฉันทนา,VP03,061-5868872,,"13.873189,100.232841",,,Active,OLD
439,ขายปลีก 20/5,VP03011,บ้านปลายนา,,"S62-205,116,221,139,178,224,218,257,115,160",,,,คุณพรพิมล,VP03,092-6748555,,"13.871478,100.263032",,,Active,OLD
440,ขายปลีก 20/5,VP03012,อาหารตามสั่ง แบมแบม,,A61-18,,,,คุณริน,VP03,088-4071701,,"13.8673276,100.2634403",,,Active,OLD
441,ขายปลีก 20/5,VP03013,คาเฟ่ แม่แมวหมูตุ๋นหอมละมุน,,A62-39,,,,คุณปุญญนุช,VP03,087-4112954,,"13.86802621,100.26587605",,,Active,OLD
442,ขายปลีก 20/5,VP03014,น้ำหวาน ป้ายา,,S62-144,,,,คุณจรินทร์,VP03,084-4127636,,"13.873412,100.2333057",,,Active,OLD
443,ขายปลีก 20/5,VP03015,บริษัทขวานทองพิทติ้งจำกัด,,ถังเอง,,,,,VP03,084-0461282,,"13.872606,100.229326",,,Active,OLD
444,ขายปลีก 20/5,VP03016,ก๋วยเตี๋ยว ป้าหญิง,,"A62-111 ,114 ,S62-226",,,,คุณสุนีย์,VP03,090-0954967,,"13.874297,100.219769",,,Active,OLD
445,ขายปลีก 20/5,VP03017,ลาบศรีษะเกษ สังคม,**********,,,,,คุณสังคม,VP03,062-3353368,,"13.870936,100.209633",,**,Inactive,OLD
446,ขายปลีก 20/5,VP03018,กาแฟ กู๋รัช,,S63-45,,,,คุณสายใจ,VP03,091-8854762,,"13.86529482,100.20900352",,,Active,OLD
447,ขายปลีก 20/5,VP03019,ของชำ ป้าแดง,,A62-31,,,,คุณธณยศ,VP03,085-2623124,,"13.8654718,100.21178604",,,Active,OLD
448,ขายปลีก 20/5,VP03020,คาเฟ่น่ารัก,,ถังเอง,,,,,VP03,081-9526026,,"13.8519395,100.2192816",,,Active,OLD
449,ขายปลีก 20/5,VP03021,ของชำ ยายตุ่ม,,ถังเอง,,,,คุณตุ่ม,VP03,081-4439603,,"13.842582,100.219546",,,Inactive,OLD
450,ขายปลีก 20/5,VP03022,คาเฟ่กาแฟโบราณ วันเพ็ญ VP3,,S62-237,,,,คุณวันเพ็ญ,VP03,087-1617559,,"13.8496787,100.2194597",,,Active,OLD
451,ขายปลีก 20/5,VP03023,อาหารตามสั่ง บ้านสวนกัลยา,,A62-115 M61-20M62-56 S62-198,,,,คุณจงกลรัตน์,VP03,064-2045409,,"13.8317822,100.2200363",,,Active,OLD
452,ขายปลีก 20/5,VP03024,ของชำ ป้าสมจิตร์ VP3,,A62-05,,,,คุณสมจิตน์,VP03,063-1700571,,"13.823851,100.213721",,,Inactive,OLD
453,ขายปลีก 20/5,VP03025,โจ๊กเห็ดหอม,,S63-10,,,,,VP03,099-4235716,,,,,Inactive,OLD
454,ขายปลีก 20/5,VP03026,อาหารตามสั่ง ป้าแดง,,ถังเอง,,,,คุณแดง,VP03,087-9811060,,"13.8333873,100.2263137",,,Active,OLD
455,ขายปลีก 20/5,VP03027,แพโนรี,,S62-244,,,,คุณคฑาวุท,VP03,085-2299900,,"13.8335733,100.2277418",,,Active,OLD
456,ขายปลีก 20/5,VP03028,กาแฟโบราณ กัญญารัตน์,,A62-08 S63-46,,,,คุณกัญญารัตน์,VP03,098-4462268,,"13.8497507,100.230185",,,Active,OLD
457,ขายปลีก 20/5,VP03029,คาเฟ่ ฟาร์อะเวย์,,A61-36,,,,คุณปัญจพล,VP03,092-1622891,,"13.857591,100.2248299",,,Active,OLD
458,ขายปลีก 20/5,VP03030,ก๋วยเตี๋ยว ป้าวาน,,C63-08,,,,คุณบุษบง,VP03,096-6818038,,"13.8518017,100.2369088",,,Active,OLD
459,ขายปลีก 20/5,VP03031,อาหารตามสั่ง แก่น,,ถังเอง,,,,คุณแก่น,VP03,090-9484368,,"13.863363,100.2222869",,,Active,OLD
460,ขายปลีก 20/5,VP03032,อาหารตามสั่ง ป้าจิตร,,S63-36,,,,คุณกิตติมา,VP03,080-49515396,,"13.863773,100.2228568",,,Active,OLD
461,ขายปลีก 20/5,VP03033,กาแฟสดคุณเพ็ญ VP3,,ถังเอง,,,,คุณเพ็ญ,VP03,085-1898856,,"13.8768491,100.2204404",,,Active,OLD
462,ขายปลีก 20/5,VP03034,บ้านดอกรักษ์,***,ถังเอง,,,,,VP03,087-0481739,,"13.8826722,100.2234688",,**,Active,OLD
463,ขายปลีก 20/5,VP03035,ของชำ ป้าต้อย VP3,,S63-42,,,,คุณบุญธรรม,VP03,085-1967880,,"13.8900716,100.2234225",,,Active,OLD
464,ขายปลีก 20/5,VP03036,เอฟเวอร์กรีนคอฟฟี่,,S62-204,,,,คุณชัชภรณ์,VP03,081-7993615,,"13.89115,100.2258066",,,Active,OLD
465,ขายปลีก 20/5,VP03037,ร้านป้าติ๋ม,,A62-71,,,,คุณสุพร,VP03,086-0384303,,"13.890214,100.223290",,,Active,OLD
466,ขายปลีก 20/5,VP03038,ของชำ สมจิตต์ VP7,,ถังเอง,,,,คุณสมจิตต์,VP03,083-5689408,,"13.898023,100.236563",,,Active,OLD
467,ขายปลีก 20/5,VP03039,ก๋วยเตี๋ยว พี่นิด VP3,,S62-132,,,,คุณขนิษฐา,VP03,085-3579880,,"13.897985,100.236573",,,Active,OLD
468,ขายปลีก 20/5,VP03040,ร้านน้ำ พี่จิ้ว,,"C63-09,S63-06",,,,คุณรัตนา,VP03,091-7826527,,"13.898104,100.237023",,,Active,OLD
469,ขายปลีก 20/5,VP03041,ร้านกินเส้น,,ถังเอง,,,,,VP03,089-6125312,,"13.870435,100.218729",,,Active,OLD
470,ขายปลีก 20/5,VP03042,อาหารตามสั่ง พี่อ้น,,S62-243,,,,คุณจำนงค์,VP03,089-6104467,,"13.835368,100.194371",,,Active,OLD
471,ขายปลีก 20/5,VP03043,ลูกชิ้นปิ้ง คุณครู,***,A62-24,,,,คุณเสาวรส,VP03,085-0206367,,"13.865224,100.209114",,**,Inactive,OLD
472,ขายปลีก 20/5,VP03044,น้ำแข็งใส ดอนแฝก,,ถังเอง,,,,,VP03,084-2030861,,"13.851707,100.236377",,,Active,OLD
473,ขายปลีก 20/5,VP03045,กาแฟสดandหมูปิ้ง ทิพวรรณ,***,A62-65,,,,คุณทิพวรรณ,VP03,085-3799357,,"13.842678,100.219390",,**,Inactive,OLD
474,ขายปลีก 20/5,VP03046,ขนมปังเย็น กกตาล,,ถังเอง,,,,,VP03,098-3572429,,"13.8195056,100.195189",,,Active,OLD
475,ขายปลีก 20/5,VP03047,ส้มตำ พี่หมวย,,ถังเอง,,,,คุณหมวย,VP03,083-1592267,,"13.851716,100.237249",,,Active,OLD
476,ขายปลีก 20/5,VP03048,บ้านสวนทำผัก,,ถังเอง,,,,,VP03,,,"13.851870,100.234297",,,Active,OLD
477,ขายปลีก 20/5,VP03049,กาแฟสด โกเพ้ง,,ถังเอง,,,,คุณเพ้ง,VP03,092-9941127,,"13.8687412,100.2117251",,,Active,OLD
478,ขายปลีก 20/5,VP03050,ของชำ ป้าตุ้ย,,S63-19,,,,คุณสัมพันธ์,VP03,097-0808028,,"13.896860,100.234393",,,Active,OLD
479,ขายปลีก 20/5,VP03051,ซุปเปอร์มาร์เก็ต โรงงานพีพีเอ,,ถังเอง,,,,คุณเอ,VP03,092-6848407,,"13.849011,100.213973",,,Active,OLD
480,ขายปลีก 20/5,VP03052,อู่ช่างอ้วน,,ถังเอง,,,,คุณอ้วน,VP03,,,"13.86366026,100.22256243",,,Active,OLD
481,ขายปลีก 20/5,VP03053,น้ำอ้อย อำพร,,A62-90,,,,คุณอำพร,VP03,,,"13.860075,100.223341",,,Active,OLD
482,ขายปลีก 20/5,VP04001,ตาหมูตุ๋น,,ถังเอง,,,,คุณตา,VP04,094-9936541,,"13.791722,100.334270",,,Active,OLD
483,ขายปลีก 20/5,VP04002,ข้าวผัดปู สุกี้,,ถังเอง,,,,,VP04,085-7031700,,"13.790266,100.332247",,,Active,OLD
484,ขายปลีก 20/5,VP04003,ก๋วยเตี๋ยวศาลาธรรมสพน์,,ถังเอง,,,,,VP04,098-3181284,,"13.797230,100.330859",,,Inactive,OLD
485,ขายปลีก 20/5,VP04004,กาแฟ ปลื้ม,,ถังเอง,,,,คุณปลื้ม,VP04,094-3049916,,"13.802388,100.335249",,,Active,OLD
486,ขายปลีก 20/5,VP04005,กาแฟ พี่สม,,ถังเอง,,,,คุณสม,VP04,089-7431342,,"13.7869691,100.2793701",,,Active,OLD
487,ขายปลีก 20/5,VP04006,อาหารตามสั่ง ป้าจิ๋ม,,ถังเอง,,,,คุณจิ๋ม,VP04,097-0809857,,"13.787676,100.2757338",,,Active,OLD
